Y分量像素值 其他分量像素值 0分量像素个数 1分量像素个数 2分量像素个数 
77 127 646 809 0 
77 128 529 979 0 
78 127 650 880 0 
78 128 531 1007 0 
79 127 651 821 0 
79 128 548 903 0 
82 127 627 820 0 
83 127 668 874 0 
83 129 659 848 0 
84 127 765 956 0 
84 129 712 830 0 
85 127 743 901 0 
85 129 725 893 0 
86 127 742 847 0 
86 129 725 845 0 
87 127 728 845 0 
87 129 666 828 0 
88 127 696 804 0 
88 129 744 922 0 
89 127 789 789 0 
89 129 777 991 0 
90 127 923 748 0 
90 128 474 995 0 
90 129 784 1098 0 
91 127 980 727 0 
91 128 476 986 0 
91 129 731 1077 0 
92 127 916 797 0 
92 128 522 978 0 
92 129 841 1096 0 
93 127 901 747 0 
93 129 713 966 0 
94 127 878 689 0 
94 129 673 1039 0 
95 127 960 649 0 
95 129 677 1003 0 
96 127 980 573 0 
96 129 692 1046 0 
97 127 1001 517 0 
97 129 703 1113 0 
98 127 1114 477 0 
98 129 707 1262 0 
99 127 1153 467 0 
99 129 781 1363 0 
100 127 1117 514 0 
100 129 778 1259 0 
101 127 1121 461 0 
101 129 713 1299 0 
102 127 1087 416 0 
102 129 605 1189 0 
103 129 612 1125 0 
104 129 548 1087 0 
105 129 610 1220 0 
106 129 629 1298 0 
107 129 623 1321 0 
108 129 597 1215 0 
109 129 548 1169 0 
110 129 440 1012 0 
Y分量像素值 CrMin CrMax CbMin CbMax SMin SMax
69 -1 -1 128 128 -1 -1 
70 -1 -1 128 128 -1 -1 
71 -1 -1 128 128 -1 -1 
74 -1 -1 128 128 -1 -1 
75 -1 -1 127 128 -1 -1 
76 -1 -1 127 128 -1 -1 
77 -1 -1 127 128 -1 -1 
78 -1 -1 127 129 -1 -1 
79 -1 -1 127 129 -1 -1 
80 -1 -1 127 128 -1 -1 
81 -1 -1 127 128 -1 -1 
82 -1 -1 127 129 -1 -1 
83 -1 -1 127 129 -1 -1 
84 127 127 127 129 -1 -1 
85 127 129 127 129 8 8 
86 127 129 127 129 -1 -1 
87 127 127 127 129 -1 -1 
88 129 129 127 129 8 8 
89 127 129 127 129 8 8 
90 127 129 127 129 5 8 
91 127 129 127 129 5 8 
92 127 129 127 129 5 8 
93 127 127 127 129 5 8 
94 127 127 128 129 5 5 
95 127 127 128 129 5 7 
96 127 127 128 129 5 7 
97 127 127 128 129 7 7 
98 127 127 128 129 5 7 
99 127 129 128 129 5 7 
100 127 129 128 129 5 7 
101 127 127 128 129 7 7 
102 127 127 129 129 7 7 
103 127 127 129 129 7 7 
104 127 127 129 129 7 7 
105 127 127 129 129 7 7 
106 127 127 129 129 7 7 
107 127 127 129 129 7 7 
108 127 127 129 129 -1 -1 
109 127 127 129 129 6 6 
110 127 127 129 129 -1 -1 
111 127 127 129 129 -1 -1 
112 127 127 129 129 -1 -1 
113 127 127 129 129 -1 -1 
114 127 127 129 129 -1 -1 
115 127 127 129 129 -1 -1 
116 127 127 129 129 -1 -1 
117 127 127 129 129 -1 -1 
118 127 127 129 129 -1 -1 
119 127 127 129 129 -1 -1 
120 127 127 129 129 -1 -1 
121 126 127 -1 -1 -1 -1 
122 126 127 -1 -1 -1 -1 
123 126 127 -1 -1 -1 -1 
124 126 127 -1 -1 -1 -1 
125 126 127 -1 -1 -1 -1 
126 126 127 -1 -1 -1 -1 
127 126 127 -1 -1 -1 -1 
128 126 127 130 130 -1 -1 
129 126 127 -1 -1 -1 -1 
130 126 127 -1 -1 -1 -1 
131 126 127 -1 -1 -1 -1 
132 126 127 -1 -1 -1 -1 
133 126 127 -1 -1 -1 -1 
134 126 127 -1 -1 -1 -1 
135 126 127 -1 -1 -1 -1 
136 126 127 -1 -1 -1 -1 
137 126 127 -1 -1 -1 -1 
138 126 127 -1 -1 -1 -1 
139 126 127 -1 -1 -1 -1 
140 126 127 -1 -1 -1 -1 
141 126 127 -1 -1 -1 -1 
142 126 127 132 132 -1 -1 
143 126 127 132 132 -1 -1 
144 126 127 132 132 -1 -1 
145 126 127 -1 -1 -1 -1 
146 126 127 132 132 -1 -1 
147 126 127 -1 -1 -1 -1 
148 127 127 -1 -1 -1 -1 
149 127 127 -1 -1 -1 -1 
150 127 127 -1 -1 -1 -1 
151 127 127 -1 -1 -1 -1 
152 127 127 -1 -1 -1 -1 
153 127 127 -1 -1 -1 -1 
154 127 127 -1 -1 -1 -1 
155 127 127 -1 -1 -1 -1 
156 127 127 -1 -1 -1 -1 
157 127 127 -1 -1 -1 -1 
158 127 127 -1 -1 -1 -1 
159 127 127 -1 -1 -1 -1 
160 127 127 -1 -1 -1 -1 
161 127 127 -1 -1 -1 -1 
162 127 127 -1 -1 -1 -1 
163 127 127 -1 -1 -1 -1 
164 127 127 -1 -1 -1 -1 
165 127 127 -1 -1 -1 -1 
166 127 127 -1 -1 -1 -1 
167 127 127 -1 -1 -1 -1 
168 127 127 -1 -1 -1 -1 
169 127 127 -1 -1 -1 -1 
170 127 127 -1 -1 -1 -1 
173 127 127 -1 -1 -1 -1 
